user_id,birthdate
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
788687,1987-09-29
788688,1972-01-03
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
788687,1987-09-29
788688,1972-01-03
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
788687,1987-09-29
788688,1972-01-03
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
788687,1987-09-29
788688,1972-01-03
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
788687,1987-09-29
788688,1972-01-03
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
788687,1987-09-29
788688,1972-01-03
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
788687,1987-09-29
788688,1972-01-03
3,1986-11-12
788667,2005-08-20
788668,1999-12-19
788669,2005-12-17
788670,1967-08-16
788671,1969-08-09
788672,2005-02-15
788673,1983-10-31
788674,1984-12-08
4,1990-02-06
788676,1966-08-09
788677,1968-08-04
788678,1996-01-28
788679,1984-12-17
788680,1983-11-01
788681,2004-02-02
6,1974-10-18
788683,1967-06-21
788684,1970-12-24
788685,2000-11-29
788686,1990-11-18
